year,season,discipline,startDate,endDate,organisingFederationCode,eventName,eventVenue,eventLevel,eventTypes,localOrganisers,region,information,eventorUrl,entryType,entryDeadlines,eventStatus,punchingSystem,websiteUrl,numberOfCompetitions,eventForm,competitionFormat,numberOfEntries,numberOfFemaleResults,numberOfMaleResults,numberOfUnknownGenderResults
,,FootO,,,ITA,Italian Cup - Stage 2,Chalet Valserena,World Ranking Event,World Ranking Event,Polisportiva G Masi,Europe,,https://eventor.orienteering.org/Events/Show/6223,Individual,2019-04-03 21:59:59,Completed,SportIdent,https://polmasi.it/wre2019,0,Individual,Middle,9,47,30,0
,,FootO,,,SWE,Swedish League #2,"Daltjärn, west Värmland, Sweden",World Ranking Event,World Ranking Event,OK Tyr; OK Algen; Skattkarrs SOK,Europe,"Entry via Swedish Eventor, https://eventor.orientering.se/Events/Show/21962?culture=en-GB ",https://eventor.orienteering.org/Events/Show/6141,Individual,2019-04-10 17:00:59,Completed,SportIdent,http://www.sl2019varmland.se,0,Individual,Middle,0,191,123,0
,,FootO,,,LTU,Pavasario Taure (Spring Cup),Elektrenai,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6162,Individual,2019-01-31 21:59:59; 2019-04-01 20:59:59; 2019-04-08 20:59:59,Completed,SportIdent,http://www.springcup.lt,0,Individual,Middle,70,42,24,0
,,FootO,,,SRB,Metropolis of South East Europe 2019,Despotovac,World Ranking Event,World Ranking Event,PSK Pobeda,Europe,,https://eventor.orienteering.org/Events/Show/6230,Individual,2019-03-31 21:59:59; 2019-04-10 21:59:59,Completed,SportIdent,http://www.pdpobeda.rs/orijentiring/,0,Individual,Sprint,36,19,10,0
,,FootO,,,SUI,Schweizer Meisterschaft im Mitteldistanz-OL (MOM),Tannhubel,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6330,Individual,2019-04-12 21:59:59,Completed,SportIdent,,0,Individual,Middle,0,87,40,0
,,FootO,,,JPN,All Japan Orienteering Championships,"Nikko, Tochigi, Japan",World Ranking Event,World Ranking Event,,Asia,,https://eventor.orienteering.org/Events/Show/6264,Individual,,Completed,Emit,http://orienteering.com/~joc2018/,0,Individual,Long,0,42,25,0
,,FootO,,,LTU,Pavasario Taure (Spring Cup),Elektrenai,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6163,Individual,2019-01-31 21:59:59; 2019-04-01 20:59:59; 2019-04-08 20:59:59,Completed,SportIdent,http://www.springcup.lt,0,Individual,Long,67,36,19,0
,,FootO,,,SWE,Swedish League #3,"Daltjärn, west Värmland, Sweden",World Ranking Event,World Ranking Event,OK Tyr; OK Algen; Skattkarrs SOK,Europe,"Entry via Swedish Eventor, https://eventor.orientering.se/Events/Show/21963?culture=en-GB",https://eventor.orienteering.org/Events/Show/6142,Individual,2019-04-10 17:00:59,Completed,SportIdent,http://www.sl2019varmland.se,0,Individual,Long,0,167,100,0
,,FootO,,,NOR,Smaaleneneløpet,Stiklatjern,World Ranking Event,World Ranking Event,,Europe,"Entry to this competition has to be done in Norwegian Eventor.
https://eventor.orientering.no/Events/Show/8387",https://eventor.orienteering.org/Events/Show/6149,Individual,,Completed,Emit,,0,Individual,Long,0,130,80,0
,,FootO,,,SRB,Metropolis of South East Europe 2019,Bela Reka - Despotovac,World Ranking Event,World Ranking Event,PSK Pobeda,Europe,,https://eventor.orienteering.org/Events/Show/6231,Individual,2019-03-31 21:59:59; 2019-04-10 21:59:59,Completed,SportIdent,http://www.pdpobeda.rs/orijentiring/,0,Individual,Long,32,20,15,0
,,FootO,,,SUI,1. Nationaler OL,Fluewald-Ahorn,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6331,Individual,,Completed,SportIdent,,0,Individual,Long,0,46,28,0
,,FootO,,,GBR,Jan Kjellstrom 2019 Day 1 - Sprint,Aldershot,World Ranking Event,World Ranking Event,South Central Orienteering Association,Europe,Please note that entry must be via the event entry system http://www.fabian4.co.uk/default.aspx?EventID=2209,https://eventor.orienteering.org/Events/Show/6143,Individual,2019-01-13 00:00:59; 2019-02-24 00:00:59; 2019-03-24 00:00:59,Completed,Emit,http://www.thejk.org.uk,0,Individual,Sprint,3,180,120,0
,,FootO,,,FRA,"3 jours de Pâques en Alsace, 1ère étape",Cravanche (90),World Ranking Event,World Ranking Event,,Europe,"Note form organisers and IOF Event Adviser.
The Women (W21E) results were voided due to a control were misplaced. Several runners lost time on that control. 

Please register also on http://www.orienteeringonline.net/CompetitionBasicInfo.aspx?CompetitionID=4133
",https://eventor.orienteering.org/Events/Show/6196,Individual,2019-01-31 22:59:59; 2019-02-28 22:59:59; 2019-04-05 22:00:59,Completed,SportIdent,http://3j2019.comulhouse.fr,0,Individual,Middle,59,69,0,0
,,FootO,,,GBR,Jan Kjellstrom 2019 Day 2 - Middle,Windmill Hill,World Ranking Event,World Ranking Event,South Central Orienteering Association,Europe,Entry can only be via the event entry website http://www.fabian4.co.uk/default.aspx?EventID=2209,https://eventor.orienteering.org/Events/Show/6144,Individual,2019-01-13 00:00:59; 2019-02-24 00:00:59; 2019-03-24 00:00:59,Completed,Emit,http://www.thejk.org.uk,0,Individual,Middle,2,100,52,0
,,FootO,,,FIN,FinnSpring 2019,"Suojala, Sauvo",World Ranking Event,World Ranking Event,Paimion Rasti; Sauvon Urheilijat,Europe,,https://eventor.orienteering.org/Events/Show/6181,Individual,2019-04-17 14:00:59,Completed,Emit,http://finnspring2019.eu,0,Individual,Long,9,135,82,0
,,FootO,,,FRA,"3 jours de Pâques en Alsace, 2ème étape",Belfort (90),World Ranking Event,World Ranking Event,,Europe,Please register also on http://www.orienteeringonline.net/CompetitionBasicInfo.aspx?CompetitionID=4133,https://eventor.orienteering.org/Events/Show/6197,Individual,2019-01-31 22:59:59; 2019-02-28 22:59:59; 2019-04-06 21:59:59,Completed,SportIdent,http://3j2019.comulhouse.fr,0,Individual,Long,57,66,31,0
,,FootO,,,SRB,Beograd Open 2019,"Beograd, Lipovi?ka Šuma",World Ranking Event,World Ranking Event,AOK Kosutnjak,Europe,,https://eventor.orienteering.org/Events/Show/6289,Individual,2019-04-15 21:59:59,Completed,SportIdent,http://beograd-open.com,0,Individual,Long,6,5,0,0
,,FootO,,,AUS,Australian Sprint Orienteering Championships,Narrogin Senior High School,World Ranking Event,World Ranking Event,,Oceania,https://www.wa.orienteering.asn.au/easter-2019/entry-details,https://eventor.orienteering.org/Events/Show/6172,Individual,2019-03-24 15:59:59,Completed,SportIdent,http://wa.orienteering.asn.au/easter-2019,0,Individual,Sprint,0,35,30,0
,,TrailO,,,JPN,14th Japan Trail Orienteering Championships,Alps Azumino National Government Park Horigane-Hotaka Area  Management Center,World Ranking Event,World Ranking Event,,Asia,,https://eventor.orienteering.org/Events/Show/6403,Individual,,Completed,Manual,,0,Individual,TempO,0,34,2,0
,,FootO,,,AUS,Australian Middle Distance Orienteering Championships,"Foxes Lair Nature Park, Narrogin",World Ranking Event,World Ranking Event,,Oceania,https://www.wa.orienteering.asn.au/easter-2019/entry-details ,https://eventor.orienteering.org/Events/Show/6173,Individual,2019-03-24 22:59:59,Completed,SportIdent,http://wa.orienteering.asn.au/easter-2019,0,Individual,Middle,0,16,14,0
,,MTBO,,,ESP,TROFEO MALVARICHE,RICOTE (MURCIA),World Ranking Event,World Ranking Event,Malvariche O,Europe,,https://eventor.orienteering.org/Events/Show/6159,Individual,2019-04-21 21:59:59,Entries opened,SportIdent,http://www.malvaricheraid.com,0,Individual,Middle,1,0,0,0
,,TrailO,,,JPN,14th Japan Trail Orienteering Championships,Alps Azumino National Government Park Horigane-Hotaka Area  Management Center,World Ranking Event,World Ranking Event,,Asia,,https://eventor.orienteering.org/Events/Show/6404,Individual,,Completed,Manual,,0,Individual,PreO,0,30,1,0
,,FootO,,,BUL,Targovishte Trophy 2019 - Long distance,Targovishte,World Ranking Event,World Ranking Event,Variant 5 Targovishte,Europe,,https://eventor.orienteering.org/Events/Show/6217,Individual,2019-04-20 20:59:59,Completed,SportIdent,http://cup.variant5.org/,0,Individual,Long,16,22,13,0
,,MTBO,,,ESP,TROFEO MALVARICHE,RICOTE (MURCIA),World Ranking Event,World Ranking Event,Malvariche O,Europe,,https://eventor.orienteering.org/Events/Show/6160,Individual,2019-04-21 21:59:59,Entries opened,SportIdent,http://www.malvaricheraid.com,0,Individual,Long,1,0,0,0
,,FootO,,,EST,ISF - World Schools Championships Orienteering ,,Partner Event,Partner Event,,Europe,"Bulletin 1 Published, go to Website to find out more.
",https://eventor.orienteering.org/Events/Show/6126,Individual,,Approved,Manual,https://www.isforienteering2019.ee/en/homepage,0,Individual,Long,0,0,0,0
,,FootO,,,SWE,Swedish League #4,"Nacka, Stochkolm, Sweden",World Ranking Event,World Ranking Event,Jarla Orientering,Europe,,https://eventor.orienteering.org/Events/Show/6174,Individual,,Completed,SportIdent,http://swedishleaguefinal2019.se,0,Individual,Sprint,0,110,80,0
,,FootO,,,NOR,EM uttak mellom,Jessheim,World Ranking Event,World Ranking Event,,Europe,"Entry to this competition has to be done in Norwegian Eventor.
https://eventor.orientering.no/Events/Show/10595",https://eventor.orienteering.org/Events/Show/6150,Individual,,Completed,Emit,,0,Individual,Middle,0,103,56,0
,,FootO,,,SWE,Swedish League #5,"Nacka, Stochkolm, Sweden",World Ranking Event,World Ranking Event,Jarla Orientering,Europe,,https://eventor.orienteering.org/Events/Show/6175,Individual,,Completed,SportIdent,http://swedishleaguefinal2019.se,0,Individual,Middle,0,152,116,0
,,TrailO,,,FIN,FinTrailO 2019,Porvoo,World Ranking Event,World Ranking Event,Mantsalan Urheilijat,Europe,,https://eventor.orienteering.org/Events/Show/6140,Individual,2019-04-25 20:59:59; 2019-04-29 20:59:59,Completed,Manual,http://www.koovee-suunnistus.fi/kisasivut/index.php/main/kisa/46/0,0,Individual,TempO,64,81,23,0
,,TrailO,,,FIN,FinTrailO 2019,Porvoo,World Ranking Event,World Ranking Event,Mantsalan Urheilijat,Europe,,https://eventor.orienteering.org/Events/Show/6139,Individual,2019-04-25 20:59:59; 2019-04-29 20:59:59,Completed,Manual,http://www.koovee-suunnistus.fi/kisasivut/index.php/main/kisa/46/0,0,Individual,PreO,66,86,25,0
,,FootO,,,FRA,Championnat de France de Moyenne Distance,Gérardmer-La Bresse (88),World Ranking Event,World Ranking Event,,Europe,No SIAC System,https://eventor.orienteering.org/Events/Show/6185,Individual,2019-05-01 21:59:59,Completed,SportIdent,https://www.cfc2019.fr,0,Individual,Middle,80,43,22,0
,,FootO,,,ITA,Italian Middle Championships,Parco Sasso Simone e Simoncello,World Ranking Event,World Ranking Event,Picchio Verde asd,Europe,,https://eventor.orienteering.org/Events/Show/6218,Individual,2019-04-29 21:59:59,Completed,SportIdent,http://www.picchioverdeasd.com/campionati-italiani-middle-relay,0,Individual,Middle,2,65,40,0
,,MTBO,,,SLO,SG MTBO 2019 - Middle,"Slovenj Gradec, Slovenia",World Ranking Event,World Ranking Event,OK Slovenj Gradec,Europe,,https://eventor.orienteering.org/Events/Show/6366,Individual,2019-05-01 21:59:59,Completed,SportIdent,http://sgmtbo.ok-sg.si/,0,Individual,Middle,22,24,8,0
,,TrailO,,,FIN,FinTrailO 2019,Tampere,World Ranking Event,World Ranking Event,Koovee,Europe,,https://eventor.orienteering.org/Events/Show/6138,Individual,2019-04-29 20:59:59,Completed,Manual,http://www.koovee-suunnistus.fi/kisasivut/index.php/main/kisa/46/0,0,Individual,PreO,61,87,21,0
,,FootO,,,NOR,EM uttak lang,Jessheim,World Ranking Event,World Ranking Event,,Europe,"Entry to this competition has to be done in Norwegian Eventor.
https://eventor.orientering.no/Events/Show/10596 ",https://eventor.orienteering.org/Events/Show/6151,Individual,,Completed,Emit,,0,Individual,Long,0,74,42,0
,,MTBO,,,SLO,SG MTBO 2019 - Long,"Slovenj Gradec, Slovenia",World Ranking Event,World Ranking Event,OK Slovenj Gradec,Europe,,https://eventor.orienteering.org/Events/Show/6367,Individual,2019-05-01 21:59:59,Completed,SportIdent,http://sgmtbo.ok-sg.si/,0,Individual,Long,21,24,9,0
,,FootO,,,UKR,Ukrainian Championships Middle,Chernivtsi,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6212,Individual,,Completed,SportIdent,https://sites.google.com/view/kchu2019-en/ ,0,Individual,Middle,0,39,26,0
,,FootO,,,ROU,Romanian Cup,Oradea,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6282,Individual,2019-05-05 20:59:59,Completed,SportIdent,,0,Individual,Long,12,14,8,0
,,FootO,,,UKR,Ukrainian Championships Long,Chernivtsi,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6211,Individual,,Completed,SportIdent,https://sites.google.com/view/kchu2019-en/,0,Individual,Long,0,28,22,0
,,FootO,,,CZE,Czech cup - sprint,"Šumperk, (park - sady 1. máje)",World Ranking Event,World Ranking Event,KVS Sumperk,Europe,,https://eventor.orienteering.org/Events/Show/6382,Individual,,Completed,SportIdent,http://www.ksu.cz/cp2019,0,Individual,Sprint,0,51,32,0
,,FootO,,,ROU,Romanian Cup,Oradea,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6283,Individual,2019-05-05 20:59:59,Completed,SportIdent,,0,Individual,Middle,9,14,9,0
,,FootO,,,BEL,Belgian middle championship,Beloeil,World Ranking Event,World Ranking Event,ASUB Orientation,Europe,,https://eventor.orienteering.org/Events/Show/6156,Individual,2019-05-05 21:59:59,Completed,SportIdent,,0,Individual,Middle,53,31,18,0
,,FootO,,,SUI,2. Nationaler OL,Richterswil ZH,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6370,Individual,,Completed,SportIdent,,0,Individual,Sprint,0,67,31,0
,,FootO,,,FIN,Näyttökilpailu / Test competition,Rauma,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6391,Individual,2019-05-12 20:59:59,Completed,Emit,https://www.rastilukko.fi/suunnistus/kilpailut/sprinttinayttokilpailut-wre-18-5/,0,Individual,Sprint,5,161,135,0
,,MTBO,,,FRA,Championnat de France de Sprint,Villers-les-Nancy et Ludres (54),World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6195,Individual,2019-05-05 21:59:59,Completed,SportIdent,https://cfco-vtt-2019.000webhostapp.com/,0,Individual,Sprint,31,16,8,0
,,FootO,,,SRB,URBAN O CUP,Belgrade,World Ranking Event,World Ranking Event,SK Magic Map,Europe,,https://eventor.orienteering.org/Events/Show/6171,Individual,2019-03-31 22:00:59; 2019-05-16 22:00:59,Completed,SportIdent,http://urbanocup.magicmap.rs/,0,Individual,Sprint,15,21,6,0
,,MTBO,,,FRA,Championnat de France de Longue Distance,Villers-les-Nancy et Ludres (54),World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6194,Individual,2019-05-05 21:59:59,Completed,SportIdent,https://cfco-vtt-2019.000webhostapp.com/,0,Individual,Long,31,17,8,0
,,FootO,,,POL,Polish Middle Championships,"Smo?dz?cino near Po?czyn Zdrój, Poland",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6225,Individual,2019-05-16 21:59:59,Completed,SportIdent,http://mistrzostwapolski2019.pl,0,Individual,Middle,6,33,26,0
,,FootO,,,UKR,Capital Cup,Kyiv,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6209,Individual,,Completed,SportIdent,http://orienteering.org.ua,0,Individual,Sprint,0,23,13,0
,,FootO,,,UKR,Capital Cup,Kyiv,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6210,Individual,,Completed,SportIdent,http://orienteering.org.ua,0,Individual,Sprint,0,25,16,0
,,MTBO,,,AUT,MTBO Austria Cup,"Imst, Tirol, Austria",World Ranking Event,World Ranking Event,Orienteering Innsbruck Imst,Europe,,https://eventor.orienteering.org/Events/Show/6199,Individual,2019-05-21 16:00:59,Completed,SportIdent,https://www.kompass-innsbruck.at/,0,Individual,Middle,47,30,16,0
,,FootO,,,DEN,DM Sprint,Grindsted,World Ranking Event,World Ranking Event,OK Gorm,Europe,,https://eventor.orienteering.org/Events/Show/6170,Individual,2019-05-20 21:59:59,Completed,SportIdent,http://okgorm.dk/dm-sprint-2019-grindsted-by/,0,Individual,Sprint,48,29,17,0
,,MTBO,,,AUT,"MTBO Austria Cup, Austrian Championships Sprint","Imst, Tirol, Austria",World Ranking Event,World Ranking Event,Orienteering Innsbruck Imst,Europe,,https://eventor.orienteering.org/Events/Show/6200,Individual,2019-05-21 16:00:59,Completed,SportIdent,https://www.kompass-innsbruck.at/,0,Individual,Sprint,43,28,15,0
,,FootO,,,FIN,Prisma-rastit,"Pyrkylännummi, Lohja, Finland",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6184,Individual,2019-05-23 20:59:59,Completed,Emit,https://www.hiidenkiertajat.fi/kilpailut/prisma-rastit-2019/,0,Individual,Middle,18,167,101,0
,,TrailO,,,SWE,PreO i Väst,Tanumshede,World Ranking Event,World Ranking Event,Kvillebyns SK,Europe,,https://eventor.orienteering.org/Events/Show/6396,Individual,2019-05-28 18:00:59,Completed,Manual,,0,Individual,PreO,65,52,12,0
,,FootO,,,ROU,Carpathian O-Trophy,"Comarnic, Romania",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6248,Individual,2019-05-20 20:59:59,Completed,SportIdent,https://carpatho.ro/,0,Individual,Long,16,22,11,0
,,FootO,,,BLR,May O-Days,"Urkavichi, Lahoysk region",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6224,Individual,2019-05-25 20:59:59,Completed,SportIdent,http://www.obelarus.net/2019/mm,0,Individual,Long,108,29,20,0
,,TrailO,,,SWE,PreO i Väst,Lysekil,World Ranking Event,World Ranking Event,Stangenas AIS,Europe,,https://eventor.orienteering.org/Events/Show/6397,Individual,2019-05-28 21:59:59,Completed,Manual,,0,Individual,PreO,62,49,12,0
,,FootO,,,CZE,Czech Cup,Nová Skalka (Skalka u Doks),World Ranking Event,World Ranking Event,Oddil OB Kotlarka,Europe,"For entries to other classes except WRE, please use ORIS system:
https://oris.orientacnisporty.cz/Event?id=4300
You can use it also for WRE classes.",https://eventor.orienteering.org/Events/Show/6375,Individual,2019-05-23 21:59:59,Completed,SportIdent,http://www.obkotlarka.cz/cp2019,0,Individual,Long,8,54,33,0
,,FootO,,,ROU,Carpathian O-Trophy,"Comarnic, Romania",World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6249,Individual,2019-05-20 20:59:59,Completed,SportIdent,https://carpatho.ro/,0,Individual,Middle,13,22,11,0
,,FootO,,,FRA,Championnat de France de Longue Distance,Aillons Margeriaz (73),World Ranking Event,World Ranking Event,,Europe,"Please use OrienteeringOnline for entries
http://www.orienteeringonline.net/CompetitionBasicInfo.aspx?CompetitionID=4278",https://eventor.orienteering.org/Events/Show/6186,Individual,2019-05-24 21:59:59,Completed,SportIdent,http://www.cfco2019.co,0,Individual,Long,0,63,30,0
,,FootO,,,CZE,Czech Cup,Nová Skalka (Skalka u Doks),World Ranking Event,World Ranking Event,Oddil OB Kotlarka,Europe,"For entries to other classes except WRE, please use ORIS system:
https://oris.orientacnisporty.cz/Event?id=4301
You can use it also for WRE classes.",https://eventor.orienteering.org/Events/Show/6376,Individual,2019-05-23 21:59:59,Completed,SportIdent,http://www.obkotlarka.cz/cp2019,0,Individual,Middle,7,55,35,0
,,FootO,,,FIN,World Cup Round 1,,Major Event,World Cup,Helsingin Suunnistajat,Europe,,https://eventor.orienteering.org/Events/Show/5844,Individual,2019-04-30 20:59:59; 2019-05-29 20:59:59; 2019-05-30 20:59:59; 2019-06-07 09:00:59,Entries opened,Manual,http://helsinkiowcup.fi/,3,Individual; Relay,Long; Middle; Sprint,381,0,0,0
,,MTBO,,,POL,European MTBO Championships and World Cup Round 1,,Major Event,Regional Championships; World Cup; World Ranking Event,Dolnoslaski Zwiazek Orientacji Sportowej,Europe,,https://eventor.orienteering.org/Events/Show/5832,Individual,2019-04-07 21:59:59; 2019-05-30 22:00:59,Entries opened,Manual,http://www.emtboc2019.pl,3,Individual; Relay,Long; Sprint,198,0,0,0
,,FootO,,,CRO,Alpe Adria Orienteering Cup,Papuk nature park,World Ranking Event,World Ranking Event,OK Sova,Europe,,https://eventor.orienteering.org/Events/Show/6380,Individual,2019-06-06 21:59:59,Completed,SportIdent,http://www.ok-sova.hr/invitation/,0,Individual,Middle,46,29,19,0
,,FootO,,,CRO,Alpe Adria Orienteering Cup,Papuk nature park,World Ranking Event,World Ranking Event,OK Sova,Europe,,https://eventor.orienteering.org/Events/Show/6381,Individual,2019-06-06 21:59:59,Completed,SportIdent,http://www.ok-sova.hr/invitation/,0,Individual,Long,43,27,18,0
,,FootO,,,POR,XXV Latin Cup 2019 (LC’19),Odemira,World Ranking Event,World Ranking Event,COALA,Europe,,https://eventor.orienteering.org/Events/Show/6088,Individual,2019-06-11 22:59:59,Completed,SportIdent,https://viicaom-coala.weebly.com/,0,Individual,Long,8,7,3,0
,,FootO,,,POR,XXV Latin Cup 2019 (LC’19),Odemira,World Ranking Event,World Ranking Event,COALA,Europe,,https://eventor.orienteering.org/Events/Show/6089,Individual,2019-06-12 22:59:59,Completed,SportIdent,https://viicaom-coala.weebly.com/,0,Individual,Middle,8,14,6,0
,,FootO,,,POR,XXV Latin Cup 2019 (LC’19),Odemira,World Ranking Event,World Ranking Event,COALA,Europe,,https://eventor.orienteering.org/Events/Show/6090,Individual,2019-06-13 22:59:59,Completed,SportIdent,https://viicaom-coala.weebly.com/,0,Individual,Sprint,8,14,5,0
,,FootO,,,FIN,Open Qualification for WOC 2019,Joensuu,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6182,Individual,2019-06-13 20:59:59,Completed,Emit,http://wp.kalevanrasti.fi/mmkatsastus2019/,0,Individual,Long,0,49,34,0
,,FootO,,,GBR,Sprint Scotland Race 1,Bo’ness,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6387,Individual,,Completed,SportIdent,http://sprintscotland.co.uk/,0,Individual,Sprint,0,39,26,0
,,FootO,,,GBR,Sprint Scotland Race 2,Bo’ness,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6388,Individual,,Completed,SportIdent,http://sprintscotland.co.uk/,0,Individual,Sprint,0,42,24,0
,,FootO,,,FIN,Keskimatkan MM-katsastus,Rautalampi,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6179,Individual,,Completed,Emit,http://suonenjoenvasama.sporttisaitti.com/suunnistus,0,Individual,Middle,0,78,54,0
,,FootO,,,FRA,Nationale Nord-Est,Trépot (25),World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6188,Individual,2019-06-10 21:59:59,Completed,SportIdent,http://www.balise25.fr/nationale-ne-2018.html,0,Individual,Long,4,3,1,0
,,TrailO,,,POR,World Trail Orienteering Championships 2019,,Major Event,World Championships; World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/5719,Individual,2019-04-23 22:59:59; 2019-06-13 22:59:59; 2019-06-14 11:00:59,Entries opened,Manual,http://wtoc2019.fpo.pt,4,Individual; Relay,PreO; TempO,199,0,0,0
,,FootO,,,GBR,Sprint Scotland Race 3,Kirkliston,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6389,Individual,,Completed,SportIdent,http://sprintscotland.co.uk/,0,Individual,Sprint,0,41,23,0
,,FootO,,,BRA,Brazilian Orienteering Championships,Bom Despacho - Minas Gerais - Brazil,World Ranking Event,World Ranking Event,,South America,"Start lists available, please go to:https://www.cbo.org.br/evento/528",https://eventor.orienteering.org/Events/Show/6122,Individual,2019-06-09 02:59:59,Completed,SportIdent,https://www.cbo.org.br/evento/528,0,Individual,Sprint,76,52,23,0
,,FootO,,,BLR,European Youth Orienteering Championships 2019,,Major Event,Regional Championships,,Europe,,https://eventor.orienteering.org/Events/Show/5815,Individual,2019-06-18 20:59:59,Entries opened,Manual,https://eyoc2019.by/,3,Individual; Relay,Long; Sprint,512,0,0,0
,,FootO,,,NOR,Norsk O-Festival sprint,Larvik,World Ranking Event,World Ranking Event,,Europe,"Entry to this competition has to be done in Norwegian Eventor.
https://eventor.orientering.no/Events/Show/9894",https://eventor.orienteering.org/Events/Show/6152,Individual,,Completed,Emit,,0,Individual,Sprint,0,61,43,0
,,FootO,,,LAT,Kapa 2019 3-days (Day2),"Strautini, Aluksne, Latvia",World Ranking Event,World Ranking Event,Kapa OK,Europe,,https://eventor.orienteering.org/Events/Show/6337,Individual,2019-06-20 20:59:59,Completed,SportIdent,http://2019.kapa.lv,0,Individual,Middle,2,36,16,0
,,FootO,,,NOR,Norsk O-Festival mellom,Larvik,World Ranking Event,World Ranking Event,,Europe,"Entry to this competition has to be done in Norwegian Eventor.
https://eventor.orientering.no/Events/Show/10752",https://eventor.orienteering.org/Events/Show/6153,Individual,,Completed,Emit,,0,Individual,Middle,0,93,53,0
,,FootO,,,BRA,Brazilian Orieenteering Championships,Bom Despacho - Minas Gerais - Brazil,World Ranking Event,World Ranking Event,,South America,"Start lists available, please go to:https://www.cbo.org.br/evento/528
",https://eventor.orienteering.org/Events/Show/6123,Individual,2019-06-09 02:59:59,Completed,SportIdent,https://www.cbo.org.br/evento/528,0,Individual,Long,87,60,26,0
,,FootO,,,BEL,ASOM 2019 ,Ghent,World Ranking Event,World Ranking Event,,Europe,,https://eventor.orienteering.org/Events/Show/6155,Individual,2019-06-27 21:59:59,Completed,SportIdent,http://www.asom.be/en/home,0,Individual,Sprint,104,61,39,0
,,FootO,,,BRA,Brazilian Orienteering Championships,Bom Despacho - Minas Gerais  - Brazil,World Ranking Event,World Ranking Event,,South America,"Start lists available, please go to:https://www.cbo.org.br/evento/528",https://eventor.orienteering.org/Events/Show/6124,Individual,2019-06-09 02:59:59,Completed,SportIdent,https://www.cbo.org.br/evento/528,0,Individual,Middle,86,59,26,0
,,FootO,,,LAT,World Masters Orienteering Championships 2019,,Major Event,World Masters,,Europe,Entry note! Only 'Paid' entries will be shown in the entry list. The one that pay directly (with PayPal card payment) will appear instantly and the ones that choose 'Pay Later' will show up when the payment is done. Note also that if you pay by bank transfer the organiser need to manually register the payment and this procedure can have some delay (a week or so).,https://eventor.orienteering.org/Events/Show/5548,Individual,2019-01-08 21:59:59; 2019-04-04 20:59:59; 2019-06-01 20:59:59,Completed,SportIdent,http://www.wmoc2019.lv/,0,Individual,Long; Middle; Sprint,4173,8874,5745,0
,,FootO,,,DEN,Junior World Orienteering Championships 2019,,Major Event,Junior World Championships; World Ranking Event,OK Pan Aarhus; Silkeborg OK,Europe,,https://eventor.orienteering.org/Events/Show/5523,Individual,2019-05-06 21:59:59; 2019-06-26 21:59:59; 2019-07-05 10:00:59,Entries opened,Manual,http://www.jwoc2019.dk/,5,Individual; Relay,Long; Middle; Sprint,452,0,0,0
,,FootO,,,ESP,5 days of Spain,"Molinos de Duero, Soria, Spain",World Ranking Event,World Ranking Event,CLUB NAVALENO,Europe,,https://eventor.orienteering.org/Events/Show/6132,Individual,2019-06-26 21:59:59,Completed,SportIdent,http://www.5days2019.es/,0,Individual,Middle,28,20,7,0
